"N","CPMS","Denominacion_Procedimientos","II_NIVEL","III _NIVEL"
32,"11011","Debridamiento de piel, tejido subcutáneo, fascia muscular y músculo, incluyendo remoción de cuerpos extraños asociados con fractura(s) y/o dislocadura(s) abierta(s) (p ej debridación excisional)","228.98","229.18"
33,"11012","Debridamiento de piel, tejido subcutáneo, fascia muscular, músculo y hueso, incluyendo remoción de cuerpos extraños asociados con fractura(s) y/o dislocadura(s) abierta(s) (p ej debridación excisional)","286.46","286.65"
39,"11057",Descamado o corte de lesión(es) hiperqueratosica(s) benigna(s) (p ej espícula o callo) de más de 4 lesiones,"3.4","3.44"
40,"11100","Biopsia de piel, tejido subcutáneo y/o mucosa (incluye cierre simple), a menos que se registre en otro lugar; lesión única","21.3","21.42"
41,"11101","Biopsia de piel, tejido subcutáneo y/o mucosa (incluye cierre simple), a menos que se registre en otro lugar; cada lesión adicional o separada (registrar por separado además del procedimiento primario)","53.5","53.5"
42,"11200","Extirpación de lesiones pediculadas, acrocordónes, papilomas fibrocutáneos múltiples, hasta 15 lesiones","3.52","3.56"
43,"11300","Afeitado de lesión epidérmica o dérmica, lesión única en tronco, brazos o piernas; diámetro de lesión de 0.5 cm o menos","3.22","3.25"
44,"11400","Extirpación de lesión benigna incluyendo márgenes, que no sea verruga blanda, tronco, brazos, o piernas; diámetro de lesión extirpada de 0.5 cm o menos","51","51.04"
45,"11650",Plastía de cicatrices simples,"12.08","12.11"
46,"11655",Plastía de cicatrices complicadas,"35.21","36.09"
47,"11740",Drenaje de hematoma subungueal,"21.11","21.14"
48,"11750","Escisión permanente de uña y matriz ungueal, parcial o completo (p ej uña encarnada o deformada)","21.11","21.14"
49,"11770",Escisión de quiste o seno pilonidal simple,"21.11","21.14"
50,"11975",Inserción de cápsulas anticonceptivas implantables,"3.64","3.65"
51,"11976",Remoción cápsulas anticonceptivas implantables,"2.92","2.94"
52,"11977",Retiro con inserción de cápsulas contraceptivas implantables,"3.65","3.65"
53,"11981","Inserción, implante liberador de drogas no biodegradable","3.65","3.65"
54,"11982","Remoción, implante liberador de drogas no biodegradable","3.65","3.65"
55,"11983","Remoción con inserción, implante liberador de drogas no biodegradable","3.65","3.65"
56,"12001","Sutura simple de heridas superficiales de cuero cabelludo, cuello, axila, genitales externos, tronco y/o extremidades (incluyendo manos y pies); 2.5 cm o menos","11.72","11.73"
57,"12002","Sutura simple de heridas superficiales de cuero cabelludo, cuello, axila, genitales externos, tronco y/o extremidades (incluyendo manos y pies); 2.6 a 7.5 cm","11.96","11.98"
58,"12004","Sutura simple de heridas superficiales en cuero cabelludo, cuello, axila, genitales externos, tronco y/o extremidades (incluyendo manos y pies); de 7.6 a 12.5 cm","25.39","25.39"
59,"12005","Sutura simple de heridas superficiales en cuero cabelludo, cuello, axila, genitales externos, tronco y/o extremidades (incluyendo manos y pies); 12.6 a 20.0 cm","18.13","18.13"
60,"12006","Sutura simple de heridas superficiales en cuero cabelludo, cuello, axila, genitales externos, tronco y/o extremidades (incluyendo manos y pies); 20.1 a 30.0 cm","38.64","38.64"
61,"12011","Sutura simple de heridas superficiales en cara, oídos, párpados, nariz, labios y/o mucosas; menos de 2.5 cm","23.93","23.93"
62,"12013","Sutura simple de heridas superficiales en cara, oídos, párpados, nariz, labios y/o mucosas; 2.6 a 5.0 cm","74.24","74.24"
63,"12014","Sutura simple de heridas superficiales en cara, oídos, párpados, nariz, labios y/o mucosas; 5.1 a 7.5 cm","160.59","160.59"
64,"12015","Sutura simple de heridas superficiales en cara, oídos, párpados, nariz, labios y/o mucosas; 7.6 a 12.5 cm","160.59","160.59"
65,"12016","Sutura simple de heridas superficiales en cara, oídos, párpados, nariz, labios y/o mucosas; 12.6 a 20.0 cm","445.36","445.36"
66,"12017","Sutura simple de heridas superficiales en cara, oídos, párpados, nariz, labios y/o mucosas; 20.1 a 30.0 cm","445.36","445.36"
67,"12018","Sutura simple de heridas superficiales en cara, oídos, párpados, nariz, labios y/o mucosas; mayor de 30.0 cm","445.36","445.36"
68,"12020",Tratamiento de dehiscencia de herida superficial con cierre simple,"110.28","110.28"
69,"12021",Tratamiento de dehiscencia de herida superficial con apósitos de gasa,"110.28","110.28"
70,"12031","Reparación intermedia de heridas de cuero cabelludo, axilas, tronco y/o extremidades (excluyendo manos y pies); 2.5 cm o menos","160.59","160.59"
71,"12032","Reparación intermedia de heridas de cuero cabelludo, axilas, tronco y/o extremidades (excluyendo manos y pies); 2.6 cm a 7.5 cm","160.59","160.59"
72,"12034","Reparación intermedia de heridas de cuero cabelludo, axilas, tronco y/o extremidades (excluyendo manos y pies); 7.6 a 12.5 cm","160.59","160.59"
73,"12035","Reparación intermedia de heridas de cuero cabelludo, axilas, tronco y/o extremidades (excluyendo manos y pies); 12.6 cm a 20.0 cm","412.34","412.34"
74,"12036","Reparación intermedia de heridas de cuero cabelludo, axilas, tronco y/o extremidades (excluyendo manos y pies); 20.1 a 30.0 cm","412.34","412.34"
75,"12037","Reparación intermedia de heridas de cuero cabelludo, axilas, tronco y/o extremidades (excluyendo manos y pies); mayor de 30.0 cm","412.34","412.34"
76,"12041","Cierre en capas de heridas de cuello, manos, pies y/o genitales externos de menos de 2.5 cm","11.84","11.86"
77,"12042","Cierre en capas de heridas de cuello, manos, pies y/o genitales externos de 2.6 a 7.5 cm","17.37","17.4"
78,"12044","Cierre en capas de heridas de cuello, manos, pies y/o genitales externos de 7.6 a 12.5 cm","200.03","200.03"
79,"12045","Cierre en capas de heridas de cuello, manos, pies y/o genitales externos de 12.6 a 20.0 cm","19.07","19.1"
80,"12046","Cierre en capas de heridas de cuello, manos, pies y/o genitales externos de 20.1 a 30.0 cm","200.03","200.03"
81,"12047","Cierre en capas de heridas de cuello, manos, pies y/o genitales externos mayor de 30.0 cm","200.03","200.03"
82,"12051","Reparación intermedia de heridas de cara, oídos, párpados, nariz, labios y/o mucosas de menos de 2.5 cm","160.59","160.59"
83,"12052","Reparación intermedia de heridas de cara, oídos, párpados, nariz, labios y/o mucosas de 2.6 a 5.0 cm","160.59","160.59"
84,"12053","Reparación intermedia de heridas de cara, oídos, párpados, nariz, labios y/o mucosas de 5.1 a 7.5 cm","160.59","160.59"
85,"12054","Reparación intermedia de heridas de cara, oídos, párpados, nariz, labios y/o mucosas de 7.6 a 12.5 cm","412.34","412.34"
86,"12055","Reparación intermedia de heridas de cara, oídos, párpados, nariz, labios y/o mucosas de 12.6 a 20.0 cm","412.34","412.34"
87,"12056","Reparación intermedia de heridas de cara, oídos, párpados, nariz, labios y/o mucosas de 20.1 a 30.0 cm","412.34","412.34"
88,"12057","Reparación intermedia de heridas de cara, oídos, párpados, nariz, labios y/o mucosas mayor de 30.0 cm","412.34","412.34"
89,"13100",Reparación compleja de tronco de 1.1 a 2.5 cm,"126.81","127"
90,"13101",Reparación compleja de tronco de 2.6 a 7.5 cm,"234.26","234.26"
91,"13102","Reparación compleja de tronco, cada 5.0 cm adicionales. Registrar por separado adicionalmente al código del procedimiento primario","234.26","234.26"
92,"13120","Reparación compleja cuero cabelludo, brazos y/o piernas; de 1.1 a 2.5 cm","234.26","234.26"
93,"13121","Reparación compleja cuero cabelludo, brazos y/o piernas; de 2.6 a 7.5 cm","234.26","234.26"
94,"13122","Reparación compleja cuero cabelludo, brazos y/o piernas; cada 5.0 cm adicionales. Registrar por separado adicionalmente al código del procedimiento primario","234.26","234.26"
95,"13131","Reparación compleja de frente, mejillas, mentón, boca, cuello, axila, genitales, manos y/o pies; de 1.1 a 2.5 cm","234.26","234.26"
96,"13132","Reparación compleja de frente, mejillas, mentón, boca, cuello, axila, genitales, manos y/o pies; de 2.6 a 7.5 cm","234.26","234.26"
97,"13133","Reparación compleja de frente, mejillas, mentón, boca, cuello, axila, genitales, manos y/o pies; cada 5.0 cm adicionales. Registrar por separado adicionalmente al código del procedimiento primario","234.26","234.26"
98,"13150","Reparación compleja de piel de párpados, nariz, oídos y/o labios (epidermis, dermis y tejido subcutáneo) menor de 1.0 cm","412.34","412.34"
99,"13151","Reparación compleja de párpados, nariz, oídos y/o labios; de 1.1 a 2.5 cm","412.34","412.34"
100,"13152","Reparación compleja de párpados, nariz, oídos y/o labios; de 2.6 a 7.5 cm","412.34","412.34"
101,"13153","Reparación compleja de párpados, nariz, oídos y/o labios; cada 5.0 cm adicionales. Registrar por separado adicionalmente al código del procedimiento primario","412.34","412.34"
102,"13160","Cierre secundario de herida quirúrgica o dehiscencia, amplia o complicada","267.26","267.43"
103,"13302",Extracción de puntos,"11.94","11.94"
104,"14300","Injerto de piel pediculado inusual o complicado, en cualquier área, mayor de 30.0 cm cuadrados","349.64","349.76"
105,"15000",Reparación quirúrgica o creación de sitio receptor,"197.32","197.32"
106,"15050","Injerto único o múltiple para úlceras pequeñas, puntas de dedos u otra área mínima (excepto cara) de 2.0 cm de diámetro o menor","262.67","262.77"
107,"15100.01",Injerto autólogo de espesor parcial menor a 10% - AIDE (autoinjerto dermo epidérmico de espesor parcial),N/C,"762.33"
108,"15100.02",Injerto autólogo de espesor parcial entre 10% a 20% - AIDE (autoinjerto dermo epidérmico de espesor parcial),N/C,"1146.96"
109,"15240","Injerto de espesor total, en frente, mejillas, mentón, boca, cuello, axila, genitales, manos y/o pies, 20.0 cm cuadrados o menos, incluyendo cierre directo del sitio del donador",N/C,"752.16"
110,"15260","Injerto de espesor total, en nariz, oídos, párpados y/o labios, de 20.0 cm cuadrados o menos, incluyendo cierre directo del sitio del donador",N/C,"752.16"
111,"15300.01",Injerto Alogénico menor de 10% (Homoinjerto),N/C,"564.46"
112,"15300.02",Injerto Alogénico entre 10% a 20% (Homoinjerto),N/C,"791.66"
113,"15350",Aplicación de aloinjerto de piel,"243.43","243.53"
114,"15400",Aplicación de injerto heterólogo de piel,"197.1","197.21"
115,"15400.01",Injerto Heterólogo menor de 10% (Xenoinjerto),N/C,"1866.06"
116,"15400.02",Injerto Heterólogo entre 10% a 20% (Xenoinjerto),N/C,"4705.26"
117,"15780","Dermoabrasión de toda la cara (p ej para cicatrices de acné, arrugas finas, gruesas, queratosis general)","345.23","345.31"
118,"15819",Cervicoplastía,"181.91","182.29"
119,"15820","Blefaroplastia, párpado inferior","126.81","127"
120,"15822","Blefaroplastia, párpado superior","129.32","129.58"
121,"15824",Ritidectomía de frente,"134.35","134.73"
122,"15849",Retiro de puntos sin anestesia,"4.85","4.86"
123,"15850","Retiro de puntos bajo anestesia (que no sea anestesia local), hecho por el mismo cirujano","25.12","25.16"
124,"15851","Retiro de puntos bajo anestesia (que no sea anestesia local), hecho por otro cirujano","11.94","11.94"
125,"15852",Cambio de apositos y curaciónes (que no sea para quemaduras) bajo anestesia (diferente de la local),"25.66","25.66"
126,"15854",Curación de herida primaria,"23.43","23.45"
127,"15859","Retiro de cateter (CVP, CVC, SF,SNG, SOG)",N/C,"1.23"
128,"15876",Lipectomía por aspiración; cabeza y cuello,"190.44","190.59"
129,"15880","Curación de heridas grandes, más de 10.0 cm","23.19","23.2"
130,"15882",Curación de Cateter Venoso Central (CVC),N/C,"1.31"
131,"15884",Curación de úlcera de decúbito I,,"7.68452380952381"
132,"15885",Curación de úlcera de decúbito II,,"7.79170238095238"
133,"15886",Curación de úlcera de decúbito III,,"7.98044444444444"
134,"15920","Escisión de úlcera de decúbito coccígea, con coccigectomía; con sutura primaria","262.67","262.77"
135,"15933","Escisión de úlcera de decúbito sacra, con sutura primaria, con ostectomía","275.31","275.5"
136,"15990",Debridamiento de úlcera de decúbito sin Escisión,"23.91","23.95"
137,"15999",Escisión de úlcera de decúbito no listada,"124.29","124.43"
138,"16000",Tratamiento local de quemadura de primer grado; sin necesidad de tratamiento diferente del local,"23.67","23.7"
139,"16010",Debridamiento o cura quirúrgica de quemaduras bajo anestesia,N/C,"72.53"
140,"16020","Debridamiento y/o colocación de apósitos de una quemadura de espesor parcial pequeña (p. ej. menos del 5% de la superficie corporal), manejo inicial o subsiguiente",N/C,"729.12"
141,"16025","Debridamiento y/o colocación de apósitos de una quemadura de espesor parcial mediana (p. ej. toda la cara o toda una extremidad o del 5% al 10% de la superficie corporal), manejo inicia o subsiguiente",N/C,"841.21"
142,"16030","Debridamiento y/o colocación de apósitos de una quemadura de espesor parcial grande (p. ej. más del 10% de la superficie corporal, o más de 1 extremidad)",N/C,"1040.37"
143,"16035","Escarotomía, Incisión inicial",N/C,"124.43"
144,"17000","Destrucción (p ej cirugía láser, electrocirugía, criocirugía, quimiocirugía, curetaje quirúrgico) de lesiones premalignas (p ej queratosis actínica); primera sesión","24.92","24.93"
145,"17250","Cauterización química de tejido de granulación (tejido de granulación, seno o fístula)","24.44","24.47"
146,"17260","Destrucción de lesión maligna, cualquier método (p ej: láser, electrocirugía, criocirugía, quimiocirugía, curetaje quirúrgico), en tronco o extremidades, menor de 0.5 cm o menos de diámetro","24.93","24.93"
147,"17304",Quimiocirugía,"42.36","42.39"
148,"17340","Crioterapia para acné (CO2, nitrogeno líquido)","21.11","21.11"
149,"17360","Exfoliación química de acné (p ej pasta de acné, ácido)","21.59","21.6"
150,"19000",Punción aspirativa de quiste de mama,"40.31","40.34"
151,"19085","Biopsia de mama, con colocación de dispositivo(s) de localización (p ej clip, perla metálica), cuando esta se realiza, e imagen de la muestra de biopsia, cuando se realiza; percutánea, primera lesión, incluyendo guía por resonancia magnética","271.86","274.27"
152,"19100",Biopsia percutánea de mama; aguja trocar (procedimiento separado) sin guía de imágenes,"42.58","42.7"
153,"19101",Biopsia de mama a cielo abierto,"90.36","91.1"
154,"19102",Biopsia percutánea de mama con imágenes,"79.5","79.69"
155,"19103",Biopsia percutánea de mama con ayuda de imágenes y uso de dispositivo de vacío,"203.17","203.17"
157,"19260","Escisión de tumor de la pared torácica, incluyendo costillas","373.63","373.85"
158,"19272","Escisión de tumor de la pared torácica, incluyendo costillas, con reconstrucción plástica, con linfadenectomía mediastínica",N/C,"374.46"
156,"19120","Escisión abierta de quiste, fibroadenoma u otra lesión benigna o maligna de mama, tejido mamario aberrante, lesión de conducto, lesión de pezón o aréola (excepto código 19300) en hombres o mujeres, 1 o más lesiones","80.28","80.5"
159,"19300",Mastectomía por ginecomastia,"345.67","345.78"
160,"19301","Mastectomía parcial (p ej lumpectomía, cuadrantectomía, segmentectomía)","345.67","345.78"
161,"19302","Mastectomía parcial con linfadenectomía axilar (p ej lumpectomía, cuadrantectomía, segmentectomía)","349.83","349.98"
162,"19303","Mastectomía, simple, completa","381.37","381.59"
163,"19305","Mastectomía, radical, incluyendo músculos pectorales y ganglios linfáticos axilares",N/C,"395.59"
164,"19306","Mastectomía, radical incluyendo músculos pectorales, ganglios linfáticos axilares y mamarios internos (operación tipo Urban)",N/C,"420.97"
165,"19316",Mastopexia,N/C,"351.44"
166,"19318",Mamoplastía de reducción,N/C,"450.69"
167,"19324",Mamoplastía de aumento; sin implante de prótesis,N/C,"425.88"
168,"19328",Remoción de implante mamario intacto,"207.35","207.47"
169,"19350",Reconstrucción de pezón/aréola,"216.07","216.2"
170,"19351",Corrección de pezón invertido,"77.76","77.88"
171,"19355",Reconstrucción de mama con expansores tisulares,N/C,"392.8"
172,"19361","Reconstrucción de mama con colgajo del músculo dorsal ancho, sin implante de prótesis",N/C,"450.69"
173,"19364",Reconstrucción de mama con colgajo libre,N/C,"437.17"
174,"19366",Reconstrucción de mama con otra técnica,N/C,"401.07"
175,"19370",Capsulotomía abierta periprótesis de mama,"357.57","357.72"
176,"19380",Revisión de reconstrucción de mama,"345.67","345.78"
177,"20100",Exploración de herida penetrante (procedimiento separado); cuello,"254.48","254.56"
178,"20200",Biopsia de músculo; superficial,"19.75","19.81"
179,"20220","Biopsia de hueso, trocar, o aguja; superficial (p ej hueso ilíaco, esternon, apofisis espinosa, costillas)","19.75","19.81"
180,"20520",Extirpación de cuerpo extraño en músculo o vaina tendinosa; simple,"53.39","53.51"
181,"20600","Artrocentesis con aspiración y/o inyección; articulación pequeña, bolsa sinovial o ganglio (p. ej. Dedos de la mano o pie)","182.41","182.41"
182,"20604","Artrocentesis, aspiración y/o inyección, pequeñas articulaciones o bursa (p. ej. dedos de manos o pies); con guía de ultrasonido, con permanente registro y reporte","182.41","182.41"
183,"20605","Artrocentesis con aspiración y/o Inyección de articulación intermedia, bolsa sinovial o ganglio (p ej temporomandibular, acromioclavicular, muñeca, codo o tobillo, bolsa del olecranon)","30.08","30.1"
184,"20606","Artrocentesis, aspiración y/o inyección, articulaciones intermedias o bursa (p. ej. temporomandibular, acromioclavicular, muñeca, codo, tobillo, bursa olecraneana); con guía de ultrasonido, con registro y reporte permanente","182.41","182.41"
185,"20610","Artrocentesis con aspiración y/o Inyección de articulación o bolsa sinovial mayor (p ej hombro, cadera, articulación de la rodilla, bolsa sub acromial)","30.26","30.28"
219,"21345","Tratamiento cerrado de fractura de complejo nasomaxilar (LeFort tipo II), con fijación interdentaria con alambre o fijación de placa dentaria","35.69","35.72"
220,"21346","Tratamiento abierto de fractura de complejo nasomaxilar (LeFort tipo II), con alambre y/o fijación local",N/C,"368.51"
221,"21360","Tratamiento abierto de fractura malar deprimida, incluyendo el arco cigomático y trípode malar","290.63","290.84"
222,"21385","Tratamiento abierto de fractura ""por estallido"" de piso órbitario, con abordaje transantral (operación del Caldwell-Luc)",N/C,"370.01"
186,"20611","Artrocentesis, aspiración y/o inyección; articulación mayor o bursa (ej. Hombro, cadera, rodilla, bursa subacromial) con guia de ultrasonido, con permanente reporte y registro","182.41","182.41"
187,"20615",Aspiración e Inyección para tratamiento de quiste óseo,"21.12","21.12"
188,"20650","Inserción de alambre o clavija con Aplicación de traccion esquelética, incluyendo Remoción (procedimiento separado)","73.83","73.97"
189,"20670","Remoción de implante; superficial, (p ej alambre intraóseo, clavija o varilla) (procedimiento separado)","14.75","14.78"
190,"20680","Remoción de implante; profundo (p ej alambre intraóseo, clavija, tornillo, banda metálica, clavo, varilla o placa)","169.71","169.82"
191,"20690",Aplicación de sistema externo de Fijación en un solo plano (clavijas o alambres en un mismo plano),"187.29","187.37"
192,"20692","Aplicación de sistema externo de Fijación, multiplanar (clavijas o alambres en más de 1 plano), unilaterial (Ej Llizarov, Monticell)","188.55","188.66"
193,"20694","Remoción, bajo anestesia, de sistema de Fijación externa","204.68","204.8"
194,"20802","Reimplantación, brazo (incluye cuello quirúrgico del húmero a través de la articulación del codo), Amputación completa",N/C,"557.74"
195,"20805","Reimplantación, antebrazo (incluye radio y cúbito a articulación radiocarpiana), Amputación completa",N/C,"557.74"
196,"20808","Reimplantación, mano (incluye mano a través de articulaciónes metacarpofalángicas), Amputación completa",N/C,"557.74"
197,"20816","Reimplantación, dígito, excluyendo dedo pulgar (incluye articulación metacarpofalángica hasta Inserción del tendón flexor superficial), Amputación completa",N/C,"376.25"
198,"20827","Reimplantación, dedo pulgar (incluye punta distal hasta articulación MF), Amputación completa",N/C,"401.07"
199,"20838","Reimplantación, pie, amputación completa",N/C,"376.25"
200,"20900","Injerto óseo, cualquier zona donante; menor o pequeño (p ej ""en clavija"" o ""en botón"")",N/C,"363.85"
201,"20910",Injerto de cartílago; costocondral,N/C,"363.85"
202,"20912",Injerto de cartílago; tabique nasal,N/C,"363.85"
203,"20920",Injerto de fascia lata; empleando dermátomo,N/C,"363.85"
204,"20926","Injertos de tejido, otros (p ej paratendón, grasa, dermis)","311.52","311.85"
205,"20950","Control de la presión del líquido intersticial (incluye Inserción de dispositivo, p ej técnica de catéter con hendidura, técnica de manometría con aguja) en la detección de síndrome compartimental muscular","71.97","72.06"
206,"21010",Artrotomía de articulación témporomandibular,"342.68","342.92"
207,"21016","Resección radical de tumor (p. ej. sarcoma), parte blanda de cara o cuero cabelludo; 2.0 cm o mayor","381.37","381.59"
208,"21025","Escisión de huesos, mandíbula (p ej osteomielitis o absceso óseo)","381.37","381.59"
209,"21031",Escisión de abultamiento mandibular,"243.8","244"
210,"21032",Escisión de abultamiento palatino maxilar,"243.8","244"
211,"21034",Escisión de tumor maligno de la mandíbula o zigoma,N/C,"368.51"
212,"21045",Resección radical de tumor maligno de mandíbula,N/C,"384.52"
213,"21050","Condilectomía, articulación témporomandibular (procedimiento separado)","381.37","381.59"
214,"21060","Meniscectomía, parcial o completa, articulación témporomandibular (procedimiento separado)",N/C,"384.52"
215,"21310","Tratamiento cerrado de fractura de huesos nasales, tabique nasal sin manipulacion","27.66","27.86"
216,"21325",Tratamiento abierto de fractura nasal; sin complicaciones,"126.81","127"
217,"21338",Tratamiento abierto de fractura nasoetmoidal sin fijación externa,N/C,"363.85"
218,"21343",Tratamiento abierto de fractura de seno frontal deprimido,N/C,"363.85"
223,"21400","Tratamiento cerrado de fractura de órbita, con excepción de estallamiento, sin manipulacion","48.11","48.18"
224,"21406","Tratamiento abierto de fractura de órbita, excepto estallamiento, sin implante","345.67","345.78"
225,"21421","Tratamiento cerrado de fractura palatina o maxilar (LeFort I), con Fijación interdentaria con alambre o Fijación a placa dentaria","23.49","23.51"
226,"21422",Tratamiento abierto de fractura maxilar o palatina (LeFort I),N/C,"368.51"
227,"21431",Tratamiento cerrado de disyuncion craneofacial (LeFort III) con Fijación interdentaria con alambre o Fijación a placa dentaria,"58.75","58.84"
228,"21432","Tratamiento abierto de disyuncion craneofacial (LeFort III), con alambre y/o Fijación interna",N/C,"376.78"
229,"21440",Tratamiento cerrado de fractura del arco dentario de la mandíbula o del maxilar (procedimiento separado),"44.09","44.14"
230,"21445",Tratamiento abierto de fractura del arco dentario de la mandíbula o del maxilar (procedimiento separado),"222.17","222.39"
231,"21454",Tratamiento abierto de fractura mandibular con Fijación externa,"381.37","381.59"
232,"21490",Tratamiento abierto de luxación de articulación témporomandibular,N/C,"363.85"
233,"21495",Tratamiento abierto de fractura del hueso hioides,N/C,"222.72"
234,"21555","Escisión de tumor, tejido blando de cuello o tórax, subcutáneo; menor de 3.0 cm","205.34","205.4"
235,"21600","Escisión de costilla, parcial","263.24","263.39"
236,"21610",Costotransversectomía (procedimiento separado),"345.67","345.78"
237,"21620","Ostectomía del esternon, parcial","381.37","381.59"
238,"21630",Resección radical del esternon,N/C,"376.78"
239,"21700",División del escaleno anterior; sin Resección de costilla cervical,"188.14","188.23"
240,"21720","División del esternocleidomástoideo por tortícolis, Operación a cielo abierto; sin Aplicación de yeso","188.55","188.66"
241,"21740","Corrección rectonstructiva de pecho excavado (""en embudo"") o de pecho hundido (""en quilla"")","397.44","397.72"
242,"21800","Tratamiento cerrado de fractura de costilla, no complicada, cada una","25.68","25.77"
243,"21805","Tratamiento abierto de fractura de costilla sin Fijación, cada una","169.89","169.95"
244,"21820",Tratamiento cerrado de fractura del esternon,"28.47","28.65"
245,"21825",Tratamiento abierto de fractura del esternon con o sin Fijación esquelética,"341.7","341.81"
246,"21930","Escisión, tumor, tejido blando de espalda o flanco, subcutáneo; menor de 3.0 cm","147.75","148.21"
247,"21931","Escisión de tumor de parte blanda de espalda o flanco, tejido subcutáneo; 3.0 cm o mas","147.75","148.21"
248,"21932","Escisión de tumor de parte blanda de espalda o flanco, subfascial (p. ej. intramuscular); menos de 5.0 cm","147.75","148.21"
249,"21933","Escisión de tumor de parte blanda de espalda o flanco, subfascial (p. ej. intramuscular); 5.0 cm o mayor","147.75","148.21"
250,"21935","Resección radical de tumor (p. ej. sarcoma), tejido blando de espalda o flanco; menos de 5.0 cm","357.57","357.72"
251,"22100","Escisión parcial de elemento vertebral posterior (p ej apofisis espinosa, lámina o faceta) debido a lesión ósea intrínseca, un solo segmento vertebral; cervical","349.64","349.76"
252,"22210","Osteotomía de columna, abordaje posterior o posterolateral, un segmento vertebral; cervical","365.51","365.68"
253,"22220","Osteotomía de columna, incluyendo disquectomía, abordaje anterior, un solo segmento vertebral; cervical","357.57","357.72"
254,"22305",Tratamiento cerrado de fracturas de procesos vertebrales,"23.49","23.51"
255,"22310","Tratamiento cerrado de fracturas de cuerpos vertebrales, sin manipulación, que requieren e incluye enyesado o abrazadera","65.83","65.83"
256,"22315","Tratamiento cerrado de fracturas y/o dislocaciones vertebrales que requieren yeso o con abrazadera, con e incluyendo yeso o abrazadera, con o sin anestesia, empleando manipulacion o traccion","56.25","56.34"
