"Id_Establecimiento","Nombre_Establecimiento","Ubigueo_Establecimiento","Codigo_Disa","Disa","Codigo_Red","Red","Codigo_MicroRed","MicroRed","Codigo_Unico","Codigo_Sector","Descripcion_Sector","Departamento","Provincia","Distrito"
49,SAN ANTONIO - RIO ITAYA,160112,24,LORETO,5,MAYNAS CIUDAD,3,BELEN,49,7,GOBIERNO REGIONAL,LORETO,MAYNAS,BELEN
50,CABO PANTOJA - RÍO AMAZONAS,160101,24,LORETO,5,MAYNAS CIUDAD,3,BELEN,50,7,GOBIERNO REGIONAL,LORETO,MAYNAS,IQUITOS
51,"6 DE OCTUBRE",160112,24,LORETO,5,MAYNAS CIUDAD,3,BELEN,51,7,GOBIERNO REGIONAL,LORETO,MAYNAS,BELEN
52,SOLEDAD DE VILLA BELEN,160112,24,LORETO,5,MAYNAS CIUDAD,3,BELEN,52,7,GOBIERNO REGIONAL,LORETO,MAYNAS,BELEN
53,ANGAMOS,160511,24,LORETO,6,MAYNAS PERIFERIE,5,ANGAMOS,53,7,GOBIERNO REGIONAL,LORETO,REQUENA,YAQUERANA
54,INDIANA,160104,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,54,7,GOBIERNO REGIONAL,LORETO,MAYNAS,INDIANA
55,MANITI I ZONA,160104,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,55,7,GOBIERNO REGIONAL,LORETO,MAYNAS,INDIANA
56,SANTA CECILIA,160104,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,56,7,GOBIERNO REGIONAL,LORETO,MAYNAS,INDIANA
57,YANAYACU BOMBONAJE,160104,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,57,7,GOBIERNO REGIONAL,LORETO,MAYNAS,INDIANA
58,VAINILLA,160104,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,58,7,GOBIERNO REGIONAL,LORETO,MAYNAS,INDIANA
59,SINCHICUY,160104,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,59,7,GOBIERNO REGIONAL,LORETO,MAYNAS,INDIANA
60,FRANCISCO DE ORELLANA,160105,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,60,7,GOBIERNO REGIONAL,LORETO,MAYNAS,LAS AMAZONAS
61,SANTA MARIA DE MARUPA,160105,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,61,7,GOBIERNO REGIONAL,LORETO,MAYNAS,LAS AMAZONAS
62,ORAN,160105,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,62,7,GOBIERNO REGIONAL,LORETO,MAYNAS,LAS AMAZONAS
63,YANASHI,160105,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,63,7,GOBIERNO REGIONAL,LORETO,MAYNAS,LAS AMAZONAS
64,IPRESS I-3 MAZAN,160106,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,64,7,GOBIERNO REGIONAL,LORETO,MAYNAS,MAZAN
65,TAMANCO,160106,24,LORETO,6,MAYNAS PERIFERIE,3,MAZAN,65,7,GOBIERNO REGIONAL,LORETO,MAYNAS,MAZAN
66,HOSPITAL II-1 SANTA CLOTILDE,160107,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,66,7,GOBIERNO REGIONAL,LORETO,MAYNAS,NAPO
67,NUEVA LIBERTAD,160107,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,67,7,GOBIERNO REGIONAL,LORETO,MAYNAS,NAPO
68,NEGRO URCO,160107,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,68,7,GOBIERNO REGIONAL,LORETO,MAYNAS,NAPO
69,TACSHA CURARAY,160107,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,69,7,GOBIERNO REGIONAL,LORETO,MAYNAS,NAPO
70,CAMPO SERIO,160110,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,70,7,GOBIERNO REGIONAL,LORETO,MAYNAS,TORRES CAUSANA
71,ANGOTEROS,160110,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,71,7,GOBIERNO REGIONAL,LORETO,MAYNAS,TORRES CAUSANA
72,TEMPESTAD,160110,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,72,7,GOBIERNO REGIONAL,LORETO,MAYNAS,TORRES CAUSANA
74,CABO PANTOJA DE TORRES CAUSANA,160110,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,74,7,GOBIERNO REGIONAL,LORETO,MAYNAS,TORRES CAUSANA
75,TORRES CAUSANA,160110,24,LORETO,6,MAYNAS PERIFERIE,2,SANTA CLOTILDE,75,7,GOBIERNO REGIONAL,LORETO,MAYNAS,TORRES CAUSANA
76,SAN ANTONIO DE CACAO,160401,24,LORETO,7,RAMON CASTILLA,1,CABALLO COCHA,76,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA
77,C.S. I-3 EL ESTRECHO,160801,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,77,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,PUTUMAYO
78,EL ALAMO,160804,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,78,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,YAGUAS
79,HUAPAPA,160804,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,79,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,YAGUAS
80,REMANSO,160804,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,80,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,YAGUAS
81,BETANIA,160804,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,81,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,YAGUAS
82,LA FLORIDA,160801,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,82,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,PUTUMAYO
83,SAN PEDRO DE TOTOYA,160801,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,83,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,PUTUMAYO
84,FLOR DE AGOSTO,160801,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,84,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,PUTUMAYO
85,IPRESS 1-3 SAN FRANCISCO DE ERE,160802,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,85,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,ROSA PANDURO
86,SANTA MERCEDES,160802,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,86,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,ROSA PANDURO
87,BELLAVISTA DE TENIENTE MANUEL CLAVERO,160803,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,87,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO
88,SOPLIN VARGAS,160803,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,88,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO
89,TRES FRONTERAS,160803,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,89,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO
90,NUEVA ESPERANZA DE TENIENTE MANUEL CLAVERO,160803,24,LORETO,6,MAYNAS PERIFERIE,1,PUTUMAYO,90,7,GOBIERNO REGIONAL,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO
91,NAUTA - NUCLEO BASE,160301,24,LORETO,8,LORETO,1,NAUTA,91,7,GOBIERNO REGIONAL,LORETO,LORETO,NAUTA
92,SAN JOAQUIN DE OMAGUAS,160301,24,LORETO,8,LORETO,1,NAUTA,92,7,GOBIERNO REGIONAL,LORETO,LORETO,NAUTA
93,MIRAFLORES DE NAUTA,160301,24,LORETO,8,LORETO,1,NAUTA,93,7,GOBIERNO REGIONAL,LORETO,LORETO,NAUTA
94,PALIZADA,160301,24,LORETO,8,LORETO,1,NAUTA,94,7,GOBIERNO REGIONAL,LORETO,LORETO,NAUTA
95,SANTA FE,160301,24,LORETO,8,LORETO,1,NAUTA,95,7,GOBIERNO REGIONAL,LORETO,LORETO,NAUTA
96,GRAU,160301,24,LORETO,8,LORETO,1,NAUTA,96,7,GOBIERNO REGIONAL,LORETO,LORETO,NAUTA
97,SAN REGIS,160301,24,LORETO,8,LORETO,1,NAUTA,97,7,GOBIERNO REGIONAL,LORETO,LORETO,NAUTA
98,SANTA RITA DE CASTILLA,160302,24,LORETO,8,LORETO,1,NAUTA,98,7,GOBIERNO REGIONAL,LORETO,LORETO,PARINARI
99,SANTA ISABEL DE YUMBATURO,160302,24,LORETO,8,LORETO,1,NAUTA,99,7,GOBIERNO REGIONAL,LORETO,LORETO,PARINARI
100,SANTA ROSA DE LAGARTO,160302,24,LORETO,8,LORETO,1,NAUTA,100,7,GOBIERNO REGIONAL,LORETO,LORETO,PARINARI
101,INTUTO,160303,24,LORETO,8,LORETO,5,INTUTO,101,7,GOBIERNO REGIONAL,LORETO,LORETO,TIGRE
102,LIBERTAD DEL TIGRE,160303,24,LORETO,8,LORETO,5,INTUTO,102,7,GOBIERNO REGIONAL,LORETO,LORETO,TIGRE
103,PAICHE PLAYA,160303,24,LORETO,8,LORETO,5,INTUTO,103,7,GOBIERNO REGIONAL,LORETO,LORETO,TIGRE
104,"12 DE OCTUBRE",160303,24,LORETO,8,LORETO,5,INTUTO,104,7,GOBIERNO REGIONAL,LORETO,LORETO,TIGRE
105,VILLA TROMPETEROS,160304,24,LORETO,8,LORETO,3,VILLA TROMPETERO,105,7,GOBIERNO REGIONAL,LORETO,LORETO,TROMPETEROS
106,PAMPA HERMOSA DE TROMPETEROS,160304,24,LORETO,8,LORETO,3,VILLA TROMPETERO,106,7,GOBIERNO REGIONAL,LORETO,LORETO,TROMPETEROS
107,P.S. I-1 NUEVA JERUSALEN,160304,24,LORETO,8,LORETO,3,VILLA TROMPETERO,107,7,GOBIERNO REGIONAL,LORETO,LORETO,TROMPETEROS
108,PROVIDENCIA,160304,24,LORETO,8,LORETO,3,VILLA TROMPETERO,108,7,GOBIERNO REGIONAL,LORETO,LORETO,TROMPETEROS
109,MAYPUCO,160305,24,LORETO,8,LORETO,4,MAYPUCO,109,7,GOBIERNO REGIONAL,LORETO,LORETO,URARINAS
110,NUEVA ESPERANZA DE URARINAS,160305,24,LORETO,8,LORETO,4,MAYPUCO,110,7,GOBIERNO REGIONAL,LORETO,LORETO,URARINAS
111,CONCORDIA,160305,24,LORETO,8,LORETO,4,MAYPUCO,111,7,GOBIERNO REGIONAL,LORETO,LORETO,URARINAS
112,REFORMA,160305,24,LORETO,8,LORETO,4,MAYPUCO,112,7,GOBIERNO REGIONAL,LORETO,LORETO,URARINAS
113,PEVAS,160402,24,LORETO,7,RAMON CASTILLA,3,PEVAS,113,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,PEBAS
114,HUANTA,160402,24,LORETO,7,RAMON CASTILLA,3,PEVAS,114,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,PEBAS
115,PUCAURQUILLO,160402,24,LORETO,7,RAMON CASTILLA,3,PEVAS,115,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,PEBAS
116,BRILLO NUEVO,160402,24,LORETO,7,RAMON CASTILLA,3,PEVAS,116,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,PEBAS
117,SAN FRANCISCO DE PEVAS,160402,24,LORETO,7,RAMON CASTILLA,3,PEVAS,117,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,PEBAS
118,CABALLOCOCHA,160401,24,LORETO,7,RAMON CASTILLA,1,CABALLO COCHA,118,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA
119,CHIMBOTE,160401,24,LORETO,7,RAMON CASTILLA,1,CABALLO COCHA,119,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA
120,ISLA DEL TIGRE,160401,24,LORETO,7,RAMON CASTILLA,1,CABALLO COCHA,120,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA
121,CUSHILLOCOCHA,160401,24,LORETO,7,RAMON CASTILLA,1,CABALLO COCHA,121,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA
122,BELLAVISTA CALLARU,160401,24,LORETO,7,RAMON CASTILLA,4,ISLANDIA,122,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA
123,SAN PABLO,160404,24,LORETO,7,RAMON CASTILLA,2,SAN PABLO,123,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO
124,SANTA ELENA DE IMAZA,160404,24,LORETO,7,RAMON CASTILLA,2,SAN PABLO,124,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO
125,ISLANDIA DEL YAVARI,160403,24,LORETO,7,RAMON CASTILLA,4,ISLANDIA,125,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,YAVARI
126,BUEN SUCESO,160403,24,LORETO,7,RAMON CASTILLA,4,ISLANDIA,126,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,YAVARI
127,SANTA TERESA,160403,24,LORETO,7,RAMON CASTILLA,4,ISLANDIA,127,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,YAVARI
128,NUEVA ESPERANZA DEL YAVARI,160403,24,LORETO,7,RAMON CASTILLA,4,ISLANDIA,128,7,GOBIERNO REGIONAL,LORETO,MARISCAL RAMON CASTILLA,YAVARI
129,SANTA ELENA,160502,24,LORETO,10,REQUENA,1,REQUENA,129,7,GOBIERNO REGIONAL,LORETO,REQUENA,ALTO TAPICHE
130,FATIMA,160502,24,LORETO,10,REQUENA,1,REQUENA,130,7,GOBIERNO REGIONAL,LORETO,REQUENA,ALTO TAPICHE
131,SAN ANTONIO DE FORTALEZA,160502,24,LORETO,10,REQUENA,1,REQUENA,131,7,GOBIERNO REGIONAL,LORETO,REQUENA,ALTO TAPICHE
132,FLOR DE PUNGA,160503,24,LORETO,10,REQUENA,4,SAN MARTIN CAPELO,132,7,GOBIERNO REGIONAL,LORETO,REQUENA,CAPELO
133,HUATAPI,160503,24,LORETO,10,REQUENA,4,SAN MARTIN CAPELO,133,7,GOBIERNO REGIONAL,LORETO,REQUENA,CAPELO
134,SINTICO,160504,24,LORETO,10,REQUENA,4,SAN MARTIN CAPELO,134,7,GOBIERNO REGIONAL,LORETO,REQUENA,EMILIO SAN MARTIN
135,TAMANCO VIEJO,160504,24,LORETO,10,REQUENA,4,SAN MARTIN CAPELO,135,7,GOBIERNO REGIONAL,LORETO,REQUENA,EMILIO SAN MARTIN
136,GENARO HERRERA,160510,24,LORETO,10,REQUENA,1,REQUENA,136,7,GOBIERNO REGIONAL,LORETO,REQUENA,JENARO HERRERA
137,SAN ROQUE DE MAQUIA,160505,24,LORETO,10,REQUENA,1,REQUENA,137,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
138,ARICA VIEJO,160505,24,LORETO,10,REQUENA,1,REQUENA,138,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
139,NUEVO JUNIN,160505,24,LORETO,10,REQUENA,1,REQUENA,139,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
140,PIURI ISLA,160505,24,LORETO,10,REQUENA,1,REQUENA,140,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
141,NUEVO SAN JOSE,160505,24,LORETO,10,REQUENA,1,REQUENA,141,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
142,NUEVO LIBERAL,160505,24,LORETO,10,REQUENA,3,BRETAÑA,142,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
143,VICTORIA,160505,24,LORETO,10,REQUENA,3,BRETAÑA,143,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
144,P.S I - 1 OBRERO,160505,24,LORETO,10,REQUENA,3,BRETAÑA,144,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
145,BOLIVAR DEL MAQUIA,160505,24,LORETO,10,REQUENA,3,BRETAÑA,145,7,GOBIERNO REGIONAL,LORETO,REQUENA,MAQUIA
146,CENTRO DE SALUD I-3 BRETAÑA,160506,24,LORETO,10,REQUENA,3,BRETAÑA,146,7,GOBIERNO REGIONAL,LORETO,REQUENA,PUINAHUA
147,SAN CARLOS DEL PUINAHUA,160506,24,LORETO,10,REQUENA,3,BRETAÑA,147,7,GOBIERNO REGIONAL,LORETO,REQUENA,PUINAHUA
148,PS I-1 MANCO CAPAC,160506,24,LORETO,10,REQUENA,3,BRETAÑA,148,7,GOBIERNO REGIONAL,LORETO,REQUENA,PUINAHUA
149,HUACRACHIRO,160506,24,LORETO,10,REQUENA,3,BRETAÑA,149,7,GOBIERNO REGIONAL,LORETO,REQUENA,PUINAHUA
150,C.S. I-4 REQUENA,160501,24,LORETO,10,REQUENA,1,REQUENA,150,7,GOBIERNO REGIONAL,LORETO,REQUENA,REQUENA
151,HUARMI ISLA,160501,24,LORETO,10,REQUENA,1,REQUENA,151,7,GOBIERNO REGIONAL,LORETO,REQUENA,REQUENA
152,GALICIA,160501,24,LORETO,10,REQUENA,1,REQUENA,152,7,GOBIERNO REGIONAL,LORETO,REQUENA,REQUENA
153,YUCURUCHI,160507,24,LORETO,10,REQUENA,1,REQUENA,153,7,GOBIERNO REGIONAL,LORETO,REQUENA,SAQUENA
154,SAPUENA,160507,24,LORETO,10,REQUENA,1,REQUENA,154,7,GOBIERNO REGIONAL,LORETO,REQUENA,SAQUENA
155,BAGAZAN DE SAPUENA,160507,24,LORETO,10,REQUENA,1,REQUENA,155,7,GOBIERNO REGIONAL,LORETO,REQUENA,SAQUENA
156,EL SOL,160507,24,LORETO,10,REQUENA,1,REQUENA,156,7,GOBIERNO REGIONAL,LORETO,REQUENA,SAQUENA
157,CURINGA,160508,24,LORETO,10,REQUENA,1,REQUENA,157,7,GOBIERNO REGIONAL,LORETO,REQUENA,SOPLIN
