"Codigo_Item","Descripcion_Item"
220.0,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; PROCEDIMIENTOS DE DERIVACIÓN DE LÍQUIDO RAQUÍDEO
222.0,ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES; ELECTROCOAGULACIÓN DEL NERVIO INTRACRANEAL
300.0,"ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO, MÚSCULOS Y NERVIOS DE LA CABEZA, CUELLO Y TRONCO POSTERIOR, NO ESPECIFICADO DE OTRA MANERA"
320.0,"ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO, TIROIDES, LARINGE, TRÁQUEA Y SISTEMA LINFÁTICO DEL CUELLO; NO ESPECIFICADOS DE OTRA FORMA, EDAD 1 AÑO O MAYOR"
322.0,"ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO, TIROIDES, LARINGE, TRÁQUEA Y SISTEMA LINFÁTICO DEL CUELLO; BIOPSIA CON AGUJA, DE TIROIDES"
326.0,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN LA LARINGE Y LA TRÁQUEA EN NIÑOS MENORES DE 1 AÑO DE EDAD
350.0,ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL CUELLO; NO ESPECIFICADOS DE OTRA FORMA
352.0,ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL CUELLO; LIGADURA SIMPLE
400.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO; NO ESPECIFICADOS DE OTRA FORMA"
402.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO; PROCEDIMIENTOS RECONSTRUCTIVOS DE MAMA (P. EJ. MAMOPLASTÍA DE REDUCCIÓN O AUMENTO, COLGAJOS MUSCULARES)"
404.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO; PROCEDIMIENTOS RADICALES O MODIFICADOS EN LAS MAMAS"
406.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO; PROCEDIMIENTOS RADICALES O MODIFICADOS EN LAS MAMÁS CON DISECCIÓN DE GANGLIO MAMARIO INTERNO"
410.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO; CONVERSIÓN ELÉCTRICA DE ARRITMIAS"
450.0,ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA; NO ESPECIFICADOS DE OTRA FORMA
452.0,ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA; CIRUGÍA RADICAL
454.0,ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA; BIOPSIA DE CLAVÍCULA
470.0,ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA; NO ESPECIFICADOS DE OTRA FORMA
472.0,ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA; TORACOPLASTÍA (CUALQUIER TIPO)
474.0,"ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA; PROCEDIMIENTOS RADICALES (P. EJ. PECHO EXCAVADO, ""EN EMBUDO"")"
500.0,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO
520.0,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA); NO ESPECIFICADOS DE OTRA FORMA
522.0,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA); BIOPSIA CON AGUJA DE PLEURA
524.0,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA); NEUMOCENTESIS
528.0,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX; MEDIASTINOSCOPÍA Y TORACOSCOPÍA DIAGNÓSTICA SIN USO DE UN PULMÓN DE VENTILACIÓN
529.0,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX; MEDIASTINOSCOPÍA Y TORACOSCOPÍA DIAGNÓSTICA CON USO DE UN PULMÓN DE VENTILACIÓN
530.0,ANESTESIA PARA INSERCIÓN TRANSVENOSA DE MARCAPASOS
532.0,ANESTESIA PARA ACCESO A CIRCULACIÓN VENOSA CENTRAL
534.0,ANESTESIA PARA INSERCIÓN TRANSVENOSA O REEMPLAZO DE CARDIOVERSOR/DESFIBRILADOR
537.0,ANESTESIA PARA PROCEDIMIENTOS ELECTROFISIOLÓGICOS CARDÍACOS INCLUYENDO ABLACIÓN POR RADIOFRECUENCIA
539.0,ANESTESIA PARA RECONSTRUCCIÓN TRAQUEOBRONQUIAL
540.0,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA); NO ESPECIFICADOS DE OTRA FORMA"
541.0,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INCLUYEN PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA); UTILIZANDO VENTILACIÓN DE UN PULMÓN"
542.0,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA); DECORTICACIÓN"
546.0,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA); RESECCIÓN PULMONAR CON TORACOPLASTIA"
548.0,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA); PROCEDIMIENTOS INTRATORÁCICOS EN LA TRÁQUEA Y BRONQUIOS"
550.0,ANESTESIA PARA DEBRIDACIÓN ESTERNAL
560.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN, PERICARDIO Y GRANDES VASOS DEL TÓRAX; SIN BOMBA OXIGENADORA"
561.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN, SACO PERICÁRDICO, Y GRANDES VASOS DEL TÓRAX; CON BOMBA DE OXIGENACIÓN, EN MENORES DE UN AÑO DE EDAD"
562.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN, PERICARDIO, Y GRANDES VASOS DEL TÓRAX; CON BOMBA OXIGENADORA EN PERSONAS DE 1 AÑO O MAYORES, PARA TODO PROCEDIMIENTO QUE NO SEA DE BYPASS CORONARIO (P. EJ. PROCEDIMIENTOS VALVULARES) O POR RE-OPERACIÓN POR BYPA"
563.0,"ANESTESIA PARA PROCEDIMIENTOS EN EL CORAZÓN, SACO PERICÁRDICO, Y GRANDES VASOS DEL TÓRAX; CON BOMBA DE OXIGENACIÓN CON PARO CIRCULATORIO HIPOTÉRMICO"
566.0,ANESTESIA PARA COLOCAR INJERTO DE DERIVACIÓN ARTERIAL CORONARIA DIRECTA SIN BOMBA DE OXIGENACIÓN
567.0,ANESTESIA PARA COLOCAR INJERTO DE DERIVACIÓN ARTERIAL CORONARIA DIRECTA CON BOMBA DE OXIGENACIÓN
580.0,ANESTESIA PARA TRASPLANTE DE CORAZÓN O TRASPLANTE DE CORAZÓN/PULMÓN
600.0,ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA CERVICAL Y MÉDULA ESPINAL CERVICAL; NO ESPECIFICADOS DE OTRA FORMA
604.0,ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA CERVICAL Y MÉDULA ESPINAL CERVICAL; LAMINECTOMÍA CERVICAL POSTERIOR EN POSICIÓN DE SENTADO
620.0,ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA TORÁCICA Y MÉDULA ESPINAL TORÁCICA; NO ESPECIFICADOS DE OTRA FORMA
622.0,ANESTESIA PARA PROCEDIMIENTOS EN COLUMNA TORÁCICA Y MÉDULA ESPINAL TORÁCICA; SIMPATECTOMÍA TORACOLUMBAR
625.0,"ANESTESIA PARA PROCEDIMIENTOS EN LA COLUMNA TORÁCICA Y MÉDULA, A TRAVÉS DE ABORDAJE TRANSTORÁCICO ANTERIOR; SIN UTILIZAR VENTILACIÓN DE UN PULMÓN"
626.0,"ANESTESIA PARA PROCEDIMIENTOS EN LA COLUMNA TORÁCICA Y MÉDULA, A TRAVÉS DE ABORDAJE TRANSTORÁCICO ANTERIOR; UTILIZANDO VENTILACIÓN DE UN PULMÓN"
630.0,ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR; NO ESPECIFICADOS DE OTRA FORMA
632.0,ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR; SIMPATECTOMÍA LUMBAR
634.0,ANESTESIA PARA PROCEDIMIENTOS EN REGIÓN LUMBAR; QUIMIONUCLEÓLISIS
635.0,ANESTESIA PARA PROCEDIMIENTOS EN LA REGIÓN LUMBAR; PUNCIÓN LUMBAR DIAGNÓSTICA Y TERAPÉUTICA
640.0,"ANESTESIA PARA MANIPULACIÓN DE LA COLUMNA O PARA PROCEDIMIENTOS CERRADOS EN LA COLUMNA CERVICAL, TORÁCICA O LUMBAR"
670.0,ANESTESIA PARA PROCEDIMIENTOS AMPLIOS EN EL COLUMNA VERTEBRAL Y MÉDULA ESPINAL (P. EJ. INSTRUMENTACIÓN DE COLUMNA O PROCEDIMIENTOS VASCULARES)
700.0,ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL ANTERIOR ALTA; NO ESPECIFICADOS DE OTRA FORMA
702.0,ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL ANTERIOR ALTA; BIOPSIA PERCUTÁNEA DE HÍGADO
730.0,ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL POSTERIOR ALTA
740.0,"ANESTESIA PARA PROCEDIMIENTOS ENDOSCÓPICOS GASTROINTESTINALES ALTOS, ENDOSCOPIO INTRODUCIDO PROXIMALMENTE AL DUODENO"
750.0,ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO; NO ESPECIFICADO DE OTRA FORMA
752.0,ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO; HERNIAS LUMBAR Y VENTRAL (INCISIONAL) Y/O DEHISCENCIA DE HERIDA
754.0,ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO; ONFALOCELE
756.0,ANESTESIA PARA CORRECCIÓN DE HERNIA EN EL ABDOMEN ALTO; CORRECCIÓN TRANSABDOMINAL DE HERNIA DIAFRAGMÁTICA
770.0,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN VASOS SANGUÍNEOS MAYORES ABDOMINALES
790.0,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA; NO ESPECIFICADOS DE OTRA FORMA
792.0,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA; HEPATECTOMÍA PARCIAL O MANEJO DE HEMORRAGIA HEPÁTICA (EXCLUYENDO BIOPSIA HEPÁTICA)
794.0,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA; PANCREATECTOMÍA PARCIAL O TOTAL (P. EJ. PROCEDIMIENTO DE WHIPPLE)
796.0,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN ALTO INCLUYENDO LAPAROSCOPÍA; TRASPLANTE DE HÍGADO (RECEPTOR)
797.0,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN ABDOMEN SUPERIOR INCLUYENDO LAPAROSCOPÍA; PROCEDIMIENTOS RESTRICTIVOS GÁSTRICOS PARA OBESIDAD MÓRBIDA
800.0,ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL ANTERIOR BAJA; NO ESPECIFICADOS DE OTRA FORMA
802.0,ANESTESIA PARA PROCEDIMIENTOS EN LA PARED ABDOMINAL ANTERIOR BAJA; PANICULECTOMÍA
810.0,"ANESTESIA PARA PROCEDIMIENTOS ENDOSCÓPICOS DE INTESTINO INFERIOR, ENDOSCOPIO INTRODUCIDO DISTALMENTE AL DUODENO"
820.0,ANESTESIA PARA PROCEDIMIENTOS EN PARED ABDOMINAL POSTERIOR BAJA
830.0,ANESTESIA PARA CORRECCIONES DE HERNIAS EN EL ABDOMEN BAJO; NO ESPECIFICADOS DE OTRA FORMA
832.0,ANESTESIA PARA CORRECCIONES DE HERNIAS EN EL ABDOMEN BAJO; HERNIAS VENTRALES E INCISIONALES
834.0,"ANESTESIA PARA REPARACIÓN DE HERNIA EN EL ABDOMEN INFERIOR NO ESPECIFICADA, EN MENORES DE UN AÑO DE EDAD"
836.0,"ANESTESIA PARA REPARACIÓN DE HERNIA EN EL ABDOMEN INFERIOR NO ESPECIFICADA, EN INFANTES MENORES DE 37 SEMANAS DE EDAD GESTACIONAL AL NACIMIENTO Y MENORES DE 50 SEMANAS DE EDAD GESTACIONAL AL MOMENTO DE LA CIRUGÍA"
840.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA; NO ESPECIFICADOS DE OTRA FORMA"
842.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA; AMNIOCENTESIS"
844.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA; RESECCIÓN ABDOMINOPERINEAL"
846.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA; HISTERECTOMÍA RADICAL"
848.0,"ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO LAPAROSCOPÍA; EXENTERACIÓN PÉLVICA"
851.0,ANESTESIA PARA PROCEDIMIENTOS INTRAPERITONEALES EN EL ABDOMEN INFERIOR INCLUYENDO LAPAROSCOPÍA; LIGADURA/TRANSECCIÓN DE TROMPAS
860.0,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEAL ES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO; NO ESPECIFICADOS DE OTRA FORMA"
862.0,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO; PROCEDIMIENTOS RENALES, INCLUYENDO EL TERCIO SUPERIOR DEL URÉTER, O NEFRECTOMÍA DEL DONANTE"
864.0,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO; CISTECTOMÍA TOTAL"
865.0,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO; PROSTATECTOMÍA RADICAL (SUPRAPÚBICA, RETROPÚBICA)"
866.0,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO; ADRENALECTOMÍA"
868.0,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO; TRASPLANTE RENAL (RECEPTOR)"
870.0,"ANESTESIA PARA PROCEDIMIENTOS EXTRA PERITONEALES EN EL ABDOMEN BAJO, INCLUYENDO TRACTO URINARIO; CISTOLITOTOMÍA"
872.0,"ANESTESIA PARA LITOTRIPSIA, ONDA DE CHOQUE EXTRACORPÓREA; CON BAÑO DE AGUA"
873.0,"ANESTESIA PARA LITOTRIPSIA, ONDA DE CHOQUE EXTRACORPÓREA; SIN BAÑO DE AGUA"
880.0,ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL ABDOMEN BAJO; NO ESPECIFICADOS DE OTRA FORMA
882.0,ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL ABDOMEN BAJO; LIGADURA DE VENA CAVA INFERIOR
902.0,ANESTESIA PARA PROCEDIMIENTO ANORRECTAL
904.0,ANESTESIA PARA PROCEDIMIENTO PERINEAL RADICAL
906.0,ANESTESIA PARA VULVECTOMÍA
908.0,ANESTESIA PARA PROSTATECTOMÍA PERINEAL
910.0,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA); NO ESPECIFICADOS DE OTRA FORMA
912.0,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA); RESECCIÓN TRANSURETRAL DE TUMORES DE VEJIGA
914.0,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA); RESECCIÓN TRANSURETRAL DE PRÓSTATA
916.0,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA); SANGRADO POSTERIOR A RESECCIÓN TRANSURETRAL
918.0,ANESTESIA PARA PROCEDIMIENTOS TRANSURETRALES (INCLUYENDO URETROCISTOSCOPÍA); CON FRAGMENTACIÓN Y/O EXTIRPACIÓN DE CÁLCULO URETRAL
920.0,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA); NO ESPECIFICADOS DE OTRA FORMA
921.0,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA); VASECTOMÍA, UNILATERAL O BILATERAL"
922.0,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS DE URETRA); VESÍCULAS SEMINALES
924.0,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA); TESTÍCULOS NO DESCENDIDOS, UNILATERAL O BILATERAL"
926.0,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA); ORQUIECTOMÍA RADICAL, INGUINAL"
928.0,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA); ORQUIECTOMÍA RADICAL, ABDOMINAL"
930.0,"ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA); ORQUIOPEXIA, UNILATERAL O BILATERAL"
932.0,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA); AMPUTACIÓN COMPLETA DEL PENE
934.0,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA); AMPUTACIÓN RADICAL DEL PENE CON LINFADENECTOMÍA INGUINAL BILATERAL
936.0,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA); AMPUTACIÓN RADICAL DEL PENE CON LINFADENECTOMÍA ILÍACA E INGUINAL BILATERALES
938.0,ANESTESIA PARA PROCEDIMIENTOS EN GENITALES EXTERNOS MASCULINOS (INCLUYENDO PROCEDIMIENTOS ABIERTOS EN URETRA); INSERCIÓN DE PRÓTESIS DE PENE (ABORDAJE PERINEAL)
940.0,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO); NO ESPECIFICADOS DE OTRA FORMA"
942.0,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO); COLPOTOMÍA, COLPECTOMÍA, COLPORRAFIA Y PROCEDIMIENTOS ABIERTOS DE URETRA"
944.0,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO); HISTERECTOMÍA VAGINAL"
948.0,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO); CERCLAJE CERVICAL"
950.0,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO); CULDOSCOPIA"
952.0,"ANESTESIA PARA PROCEDIMIENTOS VAGINALES (INCLUYENDO BIOPSIA DE LABIOS, VAGINA, CÉRVIX O ENDOMETRIO); HISTEROSCOPIA Y/O HISTEROSALPINGOGRAFÍA"
1112.0,"ANESTESIA PARA ASPIRACIÓN DE MÉDULA BIOPSIA, EN LA CRESTA ILÍACA ANTERIOR O POSTERIOR"
1120.0,ANESTESIA PARA PROCEDIMIENTOS EN LA PELVIS ÓSEA
1130.0,ANESTESIA PARA APLICACIÓN O REVISIÓN DE YESO CORPORAL
1140.0,ANESTESIA PARA AMPUTACIÓN INTERPELVIABDOMINAL (CUARTO TRASERO)
1150.0,"ANESTESIA PARA PROCEDIMIENTOS RADICALES POR TUMOR DE LA PELVIS, EXCEPTO AMPUTACIÓN DE CUARTO TRASERO"
1160.0,ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO QUE INVOLUCRAN A LA SÍNFISIS DEL PUBIS O ARTICULACIÓN SACROILÍACA
1170.0,ANESTESIA PARA PROCEDIMIENTOS A CIELO ABIERTO QUE INVOLUCRAN A LA SÍNFISIS DEL PUBIS O ARTICULACIÓN SACROILÍACA
1173.0,ANESTESIA PARA REPARACIÓN ABIERTA DE DISRUPCIÓN DE FRACTURA DE LA PELVIS O FRACTURA DE LA COLUMNA CON COMPROMISO DEL ACETÁBULO
1180.0,ANESTESIA PARA NEURECTOMÍA DEL OBTURADOR; EXTRAPÉLVICA
1190.0,ANESTESIA PARA NEURECTOMÍA DEL OBTURADOR; INTRAPÉLVICA
1200.0,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS A CIELO CERRADO QUE INVOLUCRAN LA ARTICULACIÓN DE LA CADERA
