"Codigo","Nombre"
C6126,"Recepcion de denuncias relacionadas a productos farmacéuticos, dispositivos médicos y productos sanitarios, en su jurisdiccion"
C6127,"Pesquisas de anuncios publicitarios, productos farmacéuticos, dispositivos médicos y productos sanitarios, en establecimientos farmacéuticos y establecimientos de salud de su jurisdiccion"
C6128,Asistencia técnica en buenas prácticas de dispensacion y almacenamiento en farmacias de los establecimientos de salud y botiquines
C6129,Entrenamiento en buenas prácticas de dispensacion a profesionales farmacéuticos
C6130,Entrenamiento en farmacovigilancia y tecnovigilancia a los profesionales de la salud
C6131,Identificación de venta sin receta de antimicrobianos y psicotropicos
C6132,Identificación de establecimientos que no cumplen con la publicacion de los precios de venta de los productos farmacéuticos
C6133,Participación activa en el proceso de seleccion racional de medicamentos y dispositivos médicos
C6134,"Participación activa en las campañas relacionadas a los productos farmacéuticos, dispositivos médicos y productos sanitarios"
C6135,"Sesiones educativas relacionadas a publicidad, comercio ilegal, calidad de productos farmacéuticos, dispositivos médicos y productos sanitarios; y uso de psicotropicos, estupefacientes y sustancias sujetas a fiscalizacion sanitaria"
C7001,Monitoreo
C7002,Supervisión
C7002.01,Supervisión profesional de intervencion realizada por experto comunitario
C7003,Evaluación
C7004,Asistencia técnica
D0120,Evaluación oral periodica; usuario de salud continuador
D0140,Consulta estomatologica no especializada
D0150,Evaluación oral completa
D0160,Consulta estomatologica especializada
D0170,"Reevaluación oral limitada, centrada en el problema; usuario de salud continuador (no visita postoperatoria)"
D0171,Reevaluación oral postoperatorio
D0220,Radiografía intraoral periapical
D0240,Radiografía intraoral oclusal
D0250,Radiografía extraoral
D0270,Radiografía bitewing
D0290,Radiografía postero -anterior o lateral de cráneo y huesos faciales
D0310,Sialografía
D0321,Otras radiografías de la articulación temporomandibular con informe
D0322,Estudio tomográfico
D0330,Radiografía panorámica
D0340,Radiografía cefalométrica
D0350,Imágenes fotográfica oral y facial
D0415,Rectolección de muestra de microorganismo para cultivo y prueba de sensibilidad
D0416,Cultivo viral
D0425,Pruebas de susceptibilidad de la caries
D0460,Pruebas de vitalidad de la pulpa
D0470,Impresiónes dentales para diagnóstico
D1110,Profilaxis dental
D1206,Aplicación flúor barniz
D1208,Aplicación topica de flúor gel
D1310,Asesoría nutricional para el control de enfermedades dentales
D1330,Instrucción de higiene oral (IHO)
D1351,Aplicación de sellante - por diente
D1352,"Inactivacion de caries dental con fluoruro de amino plata, resina; ionomero de vidrio"
D1510,Mantenedor de espacio fijo unilateral
D1515,Mantenedor de espacio fijo bilateral
D1520,Mantenedor de espacio removible unilateral
D1525,Mantenedor de espacio removible bilateral
D1550,Re-cementacion de mantenedor de espacio
D1555,Remoción de mantenedor de espacio fijo por el dentista que no lo coloco
D2140,"Restauracion de una superficie con amalgama en piezas dentarias, primarias o permanentes"
D2150,"Restauracion de dos superficies con amalgama en piezas dentarias, primarias o permanentes"
D2160,"Restauraciones de tres superficies con amalgama en piezas dentarias, primarias o permanentes"
D2161,"Restauraciones de cuatro superficies con amalgama en piezas dentarias, primarias o permanentes"
D2330,Restauracion fotocurable de una superficie con resina en piezas dentarias anteriores (primarias o permanentes)
D2331,Restauraciones fotocurables de dos superficies con resina en piezas dentarias anteriores (primarias o permanentes)
D2332,Restauraciones fotocurables de tres superficies con resina en piezas dentarias anteriores (primarias o permanentes)
D2335,"Restauraciones fotocurables de cuatro o más superficies con resina en piezas dentarias anteriores, puede incluir ángulo incisal (primarias o permanentes)"
D2385,"Restauracion de diente con resina, una superficie, posterior, permanente"
D2386,"Restauracion de diente con resina, dos superficies, posterior, permanente"
D2390,Restauracion fotocurable de resina en toda la corona de piezas anteriores (primarias o permanentes)
D2391,Restauracion fotocurable de una superficie con resina en piezas dentarias posterior (primarias o permanentes)
D2392,Restauraciones fotocurables de dos superficies con resina en piezas dentarias posteriores (primarias o permanentes)
D2393,Restauraciones fotocurables de tres superficies con resina en piezas dentarias posteriores (primarias o permanentes)
D2394,Restauraciones fotocurables de cuatro superficies o más con resina en piezas dentarias posteriores (primarias o permanentes)
D2510,Inlay metálica de una superficie
D2520,Inlay metálica de dos superficies
D2530,Inlay metálico de tres superficies
D2542,Onlay metálico de dos superficies
D2543,Onlay metálico de tres superficies
D2544,Onlay metálico de cuatro a más superficies
D2610,Inlay de cerámica de porcelana una superficie
D2620,Inlay de cerámica de porcelana dos superficies
D2630,Inlay de cerámica de porcelana tres a más superficies
D2642,Onlay de cerámica de porcelana de dos superficies
D2643,Onlay de cerámica de porcelana de tres superficies
D2644,Onlay de cerámica de porcelana de cuatro a más superficies
D2650,Incrustaciones inlay de resina de una superficie
D2651,Incrustaciones inlay de resina de dos superficies
D2652,Incrustaciones inlay de resina de tres o más superficies
D2662,Onlay de resina compuesta de dos superficies
D2663,Onlay de resina compuesta de tres superficies
D2664,Onlay de resina compuesta de cuatro a más superficies
D2710,Corona de base de acrílico (indirecta)
D2712,Corona de base de acrílico 3/4 de corona (indirecta)
D2721,Corona de acrílico predominantemente de metal base
D2740,Corona de porcelana
D2751,Corona de porcelana base de metal
D2781,Corona de 3/4 de metal base
D2783,Corona 3/4 de porcelana (no incluye carillas faciales)
D2791,Corona de metal base
D2794,Corona de titanio
D2799,Corona provisional
D2910,Re-cementacion de inlay y onlay o cementacion parcial
D2915,Re-cementacion de poste prefabricado
D2920,Re-cementacion de corona
D2930,Corona prefabricada de acero diente primario
D2931,Corona prefabricada de acero diente permanente
D2932,Corona prefabricada de acrílico
D2933,Corona de acero inoxidable prefabricado con frente estético de acrílico
D2934,Corona de acero inoxidable prefabricado con revestimiento estético - diente primario
D2940,Relleno sedante (eugenato)
D2950,"Reconstrucción de muñónes, incluyendo los pines"
D2951,Pin de retención por diente
D2952,Realizacion de poste y muñón para la corona
D2954,Poste prefabricado y núcleo adicional por cada diente
D2955,Remoción de poste
D2960,Carilla labial de resina directa
D2961,Carillas labiales de resina indirecta
D2962,Carillas labiales de porcelana
D2971,Reparación de la corona
D2999,"Procedimiento de restauracion no especifica, con informe"
D3110,Recubrimiento pulpar directo
D3120,Recubrimiento pulpar indirecto
D3220,Pulpotomía
D3221,Apertura cameral
D3222,Pulpotomía parcial para apexogénesis
D3230,Pulpectomía anterior dientes deciduo
D3240,Pulpectomía posterior diente deciduo
D3310,Terapia endodontica en piezas dentarias anteriores vitales
D3311,Tratamiento de conducto en pieza uniradicular no vital (sin obturacion final)
D3320,Terapia endodontica en piezas dentarias bicúspides vitales
D3330,Terapia endodontica en piezas dentarias posteriores vitales
D3331,"Tratamiento de la obstrucción del conducto radicular, acceso no quirúrgico"
D3332,"Terapia endodontica incompleta, diente inoperable, sin posibilidad de restauracion o fracturado"
D3333,Reparación de la raíz interna por defectos de Perforación
D3346,Retratamiento de endodoncia en piezas dentaria anteriores
D3347,Retratamiento de endodoncia en piezas dentarias bicúspides
D3348,Retratamiento de endodoncia de piezas dentarias posteriores
D3351,Apexificacion visita inicial
D3352,Apexificacion remplazo de medicación provisional
D3353,"Apexificacion visita final /apicoformación/recalcificación ¿ visita final (incluye terapia de canal radicular completa - cierre apical/Reparación calcificar de Perforaciónes, reabsorcion de raíz, etc)"
D3410,Apicectomía/cirugía periapical en piezas anteriores
D3421,Apicectomía/cirugía periapical en piezas bicúspides
D3425,Apicectomía/cirugía periapical en piezas posteriores
D3430,Obturacion retrograda por raíz
D3450,Amputación radicular
D3460,Implante endodontico endoóseo
D3470,Reimplantación intencional incluyendo ferulizacion
D3920,"HemiSección (incluyendo cualquier Remoción de raíz), sin incluir la terapia de conducto radicular"
D3999,"Procedimiento endodontico no especificado, por informe"
D4210,Gingivectomía - gingivoplastía de 4 a más dientes contiguos o espacios dentales vecinos por cuadrante o sextantes
D4211,Gingivectomía - gingivoplastía de 1 a 3 dientes contiguos o espacios dentales vecinos por cuadrante o sextantes
D4240,Colgajo periodontal con alisado radicular de 4 a más dientes contiguos o espacios dentales vecinos por cuadrante
D4241,Colgajo periodontal con alisado radicular de 1 a 3 dientes contiguos o espacios dentales vecinos por cuadrante
D4245,Colgajo posicionado apicalmente
D4249,Alargamiento clínico de corona
D4266,Regeneracion tisular guiada - barrera absorbible sin relleno
D4267,Regeneracion tisular guiada - barrera no absorbible sin relleno
D4268,Correcciones post quirúrgicas
D4270,Colgajo desplazado de tejido blando
D4271,Injerto gingival libre (incluye cirugía de la zona donante)
D4273,Injerto de tejido conectivo subepitelial (incluye cirugía de la zona donante)
D4274,Cuña distal o proximal (cuando no se realiza en conjuncion con procedimientos quirúrgicos en la misma área anatómica
D4275,Aloinjerto de tejido blando
D4320,Ferulizacion provisional intracoronal
D4321,Ferulizacion provisional extracoronal
D4322,Fijación y/o ferulizacion de piezas dentales con resina fotocurable
D4341,Raspado y alisado radicular - cuatro a más dientes por cuadrante
D4342,Raspado y alisado radicular de uno a tres dientes por cuadrante
D4355,Raspaje dental; destartraje dental
D4381,Medicación antimicrobiana de uso local controlada
D4910,Mantenimiento periodontal
D4999,"Procedimiento periodontal no especificado, por informe"
D5110,Prótesis dental completa maxilar
D5120,Prótesis dental completa mandibular
D5130,Prótesis inmediata maxilar
D5140,Prótesis inmediata mandibular
D5211,Prótesis removible parcial maxilar base de acrílico (termocurado)
D5212,Prótesis removible parcial mandibular base de acrílico (termocurado)
D5213,Prótesis removible parcial maxilar base metálica
D5214,Prótesis removible parcial mandibular base metálica
D5225,Prótesis removible parcial maxilar - base flexible
D5226,Prótesis removible parcial mandibular - base flexible
D5281,Prótesis removible parcial unilateral - una pieza moldeada de metal
D5410,Ajuste de prótesis completa maxilar
D5411,Ajuste de prótesis completa mandibular
D5421,Ajuste de prótesis parcial maxilar
D5422,Ajuste de prótesis parcial mandibular
D5510,Reparación de fractura de base de dentadura completa
D5520,Remplazar los dientes perdidos o rotos
D5610,Reparación de prótesis parcial de base de acrílico
D5620,Reparación de armazon colado
D5630,Reparación o remplazo de retenedores fracturados
D5640,Remplazo de dientes fracturados
D5650,Añadir diente a la prótesis parcial existente
D5660,Agregar retenedor a la prótesis parcial existente
D5670,Remplazar todos los dientes y acrílico sobre armazon moldeado de metal
D5710,Rebase de prótesis maxilar completa
D5711,Rebase de prótesis mandibular completa
D5720,Rebase de prótesis maxilar parcial
D5721,Rebase de prótesis mandibular parcial
D5730,Revestimiento de prótesis maxilar completa en consultorio
D5731,Revestimiento de prótesis mandibular completa en consultorio
D5740,Revestimiento de prótesis parcial maxilar en consultorio
D5741,Revestimiento de prótesis parcial mandibular en consultorio
D5750,Revestimiento de prótesis completa maxilar en laboratorio
D5751,Revestimiento de prótesis completa mandibular en laboratorio
D5760,Revestimiento de prótesis parcial maxilar en laboratorio
D5761,Revestimiento de prótesis laboratorio
D5810,Prótesis completa maxilar provisional
D5811,Prótesis completa mandibular provisional
D5820,Prótesis removible parcial maxilar provisional (curado rápido)
D5821,Prótesis removible parcial mandibular provisional (curado rápido)
D5850,Acondicionamiento del tejido maxilar
D5851,Acondicionamiento del tejido mandibular
D5860,Sobre dentadura completa
D5861,Sobre dentadura parcial
D5862,Atachés de precision
D5875,Modificacion de la prótesis removible siguiendo la cirugía de implantes
D5899,Procedimiento sin especificar de prótesis removible
D5911,Mascara facial por secciones
D5912,Mascara facial completa
D5913,Prótesis nasal
D5914,Prótesis articular
D5915,Prótesis órbital
D5916,Prótesis ocular
D5919,Prótesis facial
D5922,Prótesis nasal septal
D5923,"Prótesis ocular, con carácter interino"
D5924,Prótesis craneal
D5925,Implante de prótesis de aumento facial
D5926,Sustitucion de prótesis nasal
D5927,Prótesis auricular de remplazo
D5928,Prótesis órbital de remplazo
D5929,Prótesis facial de remplazo
D5931,Obturador protésico por cirugía
D5932,Prótesis para obturacion definitiva
D5933,Prótesis de obturador modificable
D5934,Resección mandibular prótesis con brida guía
D5935,Resección mandibular prótesis sin brida guía
D5936,Obturador protésico provisional
D5937,Aparato para trismo
D5951,Prótesis para ayuda de alimentacion
D5952,Laringofono prótesis pediátrica
D5953,Laringofono prótesis en adulto
D5954,Aumento de prótesis palatal
D5955,Elevador palatino protésico definitivo
D5958,Elevador palatino protésico provisional
D5959,Modificacion de prótesis elevador palatino
D5960,Prótesis laringofono con modificaciones
D5982,Stent o endoprótesis quirúrgica
D5983,Trasmision de radiación
D5984,Blindaje contra radiación
D5985,Radiación cono localizador
D5986,Soporte de gel fluoruro
D5987,Férula de la comisura
D5988,Férula quirúrgica
D5999,"Prótesis maxilofaciales sin especificar, con informe"
D6010,Colocación quirúrgica del cuerpo del implante; implante endosteal
D6040,Colocación quirúrgica del cuerpo del implante; implante eposteal
D6050,Colocación quirúrgica: implante transostales
D6053,Implante/pilar apoyo de prótesis removible en arcada edéntula completa
D6054,Implante o pilar apoyo de prótesis removible de arcada edéntula parcial
D6055,Implante dental apoyado en barra de conexión
D6056,Pilar prefabricado - incluye Colocación
D6057,Pilar personalizado - incluye la colocación
D6058,Pilar apoyado en corona de porcelana
D6060,Pilar apoyado en corona de porcelana fusionada con metal (predominante de metal base)
D6061,Pilar apoyado en corona de porcelana fusionada con metal resistente (metal noble)
D6063,Pilar apoyado corona fundido en metal base (predominante base de metal)
D6064,Pilar apoyado con corona de metal fundido de metal resistente (noble)
D6065,Implante soportado en corona de metal
D6068,Pilar apoyado en retenedor de porcelana en prótesis parcial fija
D6070,Pilar apoyado en retenedor de porcelana fundida de metal para prótesis parcial fija (metal predominantemente base)
D6071,Pilar apoyado en retenedor de porcelana fundida de metal para prótesis parcial fija metal resistente (metal noble)
D6073,Pilar apoyado en retenedor para metal fundido en prótesis parcial fija (metal predominantemente base)
D6074,Pilar apoyado para la retención (retenedor) de metal fundido para prótesis parcial fija (metal noble)
D6075,Implante con apoyo de retención (retenedor) de cerámica en prótesis parcial fija
D6076,Implante con apoyo de retención de porcelana fundida de metal para prótesis fija
D6078,Implante/pilar de apoyo para prótesis fija arcada parcialmente edéntula
D6079,Implante/pilar de apoyo para prótesis fija arcada completamente desdentada
D6080,"Los procedimientos de mantenimiento incluyendo la Remoción de la prótesis, limpieza de la prótesis, limpieza de los pilares e Inserción de la prótesis"
D6090,"Reparación de cualquier parte del implante soportada en prótesis, con informe"
D6094,Pilar apoyado corona de titanio
D6095,"Reparación de pilar de implante, con reporte"
D6100,"Remoción de implante, con reporte"
D6190,Radiografía índice de implante quirúrgico con reporte
D6194,Pilar apoyado en retenedor de la corona para prótesis parcial fija
D6199,"Procedimiento de implante inespecífico, con reporte"
D6205,Puente de resina compuesta indirecta
D6211,Puente fundido en metal predominantemente de metal base
D6212,Puente fundido en metal resistente (noble)
D6214,Puente de titanio
D6242,Puente de porcelana fusionado con metal resistente (noble)
D6245,Puente de porcelana
D6251,Puente de resina con metal predominantemente de metal base
D6252,Puente de resina con metal resistente (noble)
D6253,Puente provisional
D6920,Conector en barra
D6930,Re-cementado de prótesis parcial fija
D6940,Dispositivo dental flexible
D6970,Poste fundido y núcleo adicional para retenedor de prótesis parcial fija
D6971,Poste fundido como parte del retenedor de prótesis parcial fija
D6972,Poste prefabricado y núcleo adicional de retenedor de prótesis parcial fija
D6973,"Muñón para retenedor, incluyendo los pines"
D6975,Afrontamiento - metal
D6976,Por cada poste fundido adicional-mismo diente
D6977,Por cada poste prefabricado adicional - mismo diente
D6980,Reparación de prótesis parcial fija
D6985,Prótesis parcial fija pediátrica
D6999,Procedimiento de prótesis fija sin especificar
D7111,"Exodoncia, remanente coronal-diente deciduo"
D7140,Exodoncia diente erupcionado o raíz expuesta
D7176,"Extracción dental simple, un diente"
"00918",Anestesia para procedimientos transuretrales (incluye uretrocistoscopia); con fragmentación y/o extirpación de cálculo uretral
"00920",Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos de uretra); no especificados de otra forma
"00921","Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos de uretra); vasectomía, unilateral o bilateral"
"00922",Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos de uretra); vesículas seminales
"00924","Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos en uretra); testículos no descendidos, unilateral o bilateral"
"00926","Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos en uretra); orquiectomía radical, inguinal"
"00928","Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos en uretra); orquiectomía radical, abdominal"
"00930","Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos en uretra); orquiopexia, unilateral o bilateral"
"00932",Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos en uretra); amputación completa del pene
"00934",Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos en uretra); amputación radical del pene con linfadenectomía inguinal bilateral
"00936",Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos en uretra); amputación radical del pene con linfadenectomía ilíaca e inguinal bilaterales
"00938",Anestesia para procedimientos en genitales externos masculinos (incluye procedimientos abiertos en uretra); inserción de prótesis de pene (abordaje perineal)
"00940","Anestesia para procedimientos vaginales (incluye biopsia de labios, vagina, cérvix o endometrio); no especificados de otra forma"
"00942","Anestesia para procedimientos vaginales (incluye biopsia de labios, vagina, cérvix o endometrio); colpotomía, colpectomía, colporrafia y procedimientos abiertos de uretra"
"00944","Anestesia para procedimientos vaginales (incluye biopsia de labios, vagina, cérvix o endometrio); histerectomía vaginal"
"00948","Anestesia para procedimientos vaginales (incluye biopsia de labios, vagina, cérvix o endometrio); cerclaje cervical"
"00950","Anestesia para procedimientos vaginales (incluye biopsia de labios, vagina, cérvix o endometrio); culdoscopía"
"00952","Anestesia para procedimientos vaginales (incluye biopsia de labios, vagina, cérvix o endometrio); histeroscopia y/o histerosalpingografía"
"01112","Anestesia para aspiración de médula biopsia, en la cresta ilíaca anterior o posterior"
"01120",Anestesia para procedimientos en la pelvis ósea
"01130",Anestesia para aplicación o revisión de yeso corporal
"01140",Anestesia para amputación interpelviabdominal (cuarto trasero)
"01150","Anestesia para procedimientos radicales por tumor de la pelvis, excepto amputación de cuarto trasero"
"01160",Anestesia para procedimientos a cielo cerrado que involucran a la sínfisis del pubis o articulación sacroilíaca
"01170",Anestesia para procedimientos a cielo abierto que involucran a la sínfisis del pubis o articulación sacroilíaca
"01173",Anestesia para reparación abierta de disrupción de fractura de la pelvis o fractura de la columna con compromiso del acetábulo
"01180",Anestesia para neurectomía del obturador; extrapélvica
"01190",Anestesia para neurectomía del obturador; intrapélvica
"01200",Anestesia para todos los procedimientos a cielo cerrado que involucran la articulación de la cadera
"01202",Anestesia para procedimientos artroscópicos en articulación de la cadera
"01210",Anestesia para procedimientos a cielo abierto que involucran la articulación de la cadera; no especificados de otra forma
"01212",Anestesia para procedimientos a cielo abierto que involucran la articulación de la cadera; desarticulación de la cadera
"01214",Anestesia para procedimientos a cielo abierto que involucran la articulación de la cadera; artroplastía total de la cadera
"01215",Anestesia para procedimientos abiertos con compromiso de la articulación de la cadera; revisión de toda la artroplastía total de cadera
"01220",Anestesia para todos los procedimientos a cielo cerrado que involucran a los 2/3 superiores del fémur
"01230",Anestesia para procedimientos a cielo abierto que involucran a los 2/3 superiores del fémur; no especificados de otra forma
"01232",Anestesia para procedimientos a cielo abierto que involucran a los 2/3 superiores del fémur; amputación
"01234",Anestesia para procedimientos a cielo abierto que involucran a los 2/3 superiores del fémur; resección radical
"01250","Anestesia para todos los procedimientos en nervios, músculos, tendones, fascia y bolsas sinoviales de la parte superior de la pierna"
"01260","Anestesia para todos los procedimientos que involucran venas de la parte superior de la pierna, incluyendo exploración"
"01270","Anestesia para procedimientos que involucran arterias de la parte superior de la pierna, incluyendo injerto de derivación; no especificados de otra forma"
"01272","Anestesia para procedimientos que involucran arterias de la parte superior de la pierna, incluyendo injerto de derivación; ligadura de la arteria femoral"
"01274","Anestesia para procedimientos que involucran arterias de la parte superior de la pierna, incluyendo injerto de derivación; embolectomía de la arteria femoral"
"01320","Anestesia para todos los procedimientos en nervios, músculos, tendones, fascia y bolsas sinoviales de la rodilla y/o región poplítea"
"01340",Anestesia para todos los procedimientos a cielo cerrado en el tercio inferior del fémur
